"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",21.456996058221,0.824086221875009,0.579073394235461,1.42311187161868,0.15470372743583,0.999983548132501
"AT1G01040",44.9287119857725,-0.347838635875875,0.406053463838526,-0.856632603469674,0.391647961230237,0.999983548132501
"AT1G01050",14.1104312595312,-0.25371493061571,0.671254625265979,-0.37797122144995,0.705451972831859,0.999983548132501
"AT1G01060",63.9904540128486,0.332752001642364,0.379557018829061,0.876685149095408,0.380657675329332,0.999983548132501
"AT1G01090",92.2432834236363,-0.356226222295653,0.307346598079039,-1.15903746624208,0.246440913569845,0.999983548132501
"AT1G01100",180.464255950344,-0.43698102111428,0.262423096362621,-1.66517744501594,0.095877359455531,0.999983548132501
"AT1G01110",6.948845381324,1.12167695764459,0.999180282110988,1.12259717062751,0.261608617588107,NA
"AT1G01120",74.9721193144941,0.0970825674046463,0.335115269446985,0.289699026740423,0.772046500961911,0.999983548132501
"AT1G01160",19.3884272908902,-0.0117950575623267,0.598807025252457,-0.0196975938239099,0.984284610258811,0.999983548132501
"AT1G01180",13.2932666666421,0.265295015922843,0.695106885337488,0.381660751057065,0.702713016238699,0.999983548132501
"AT1G01190",15.18898465476,0.425740758056372,0.689122419450973,0.617801345652869,0.536706296318882,0.999983548132501
"AT1G01210",15.1037349922227,-0.251190634070222,0.652759388620355,-0.38481351390614,0.700375586069668,0.999983548132501
"AT1G01220",14.4001348030145,0.54342355891385,0.681928516263212,0.796892263564028,0.425513604385347,0.999983548132501
"AT1G01230",11.4616043267969,0.758723870597406,0.772243677149521,0.982492823247166,0.325857116874115,0.999983548132501
"AT1G01240",6.13240549800904,1.61200073611051,1.0775333488111,1.49601006585004,0.134651032115881,NA
"AT1G01260",22.4231898460448,0.0555214023221822,0.553913992302188,0.100234699057561,0.920157998856616,0.999983548132501
"AT1G01290",8.76328160109974,-1.19260779216394,0.863367834888781,-1.38134378415612,0.167173281810491,0.999983548132501
"AT1G01300",22.4772167700989,0.0874713090863829,0.565729632043886,0.154616806565998,0.877123419614594,0.999983548132501
"AT1G01320",12.2880794155532,-0.236399774962303,0.71559667797273,-0.330353371164353,0.741132969961944,0.999983548132501
"AT1G01340",29.9520127529743,0.299962618424296,0.492199058017011,0.609433548355001,0.542237106582661,0.999983548132501
"AT1G01350",15.7985749600144,0.2032229061499,0.639385193510097,0.317841120208378,0.750605457401007,0.999983548132501
"AT1G01360",23.842199031187,0.481172647658451,0.537584545403087,0.8950641378607,0.370752803170688,0.999983548132501
"AT1G01380",8.20916115782515,0.0268092890783971,0.944633033313073,0.0283806389708499,0.977358565844348,0.999983548132501
"AT1G01420",10.5841840259294,0.0428601476002584,0.769838286515172,0.0556742219125961,0.955601335575702,0.999983548132501
"AT1G01430",12.0188451767602,-0.525600641473519,0.739364215623059,-0.710881904164916,0.477157420519117,0.999983548132501
"AT1G01440",20.6003192206192,0.200373615846375,0.575860027310001,0.347955416843872,0.727873665914414,0.999983548132501
"AT1G01470",8.48493631334347,0.56157524509774,0.876338599620532,0.640819935742772,0.521639678947141,0.999983548132501
"AT1G01490",83.3436305554644,-0.903367557189984,0.331819604309841,-2.72246589850807,0.00647967205242946,0.230975063193581
"AT1G01500",16.6114724883526,-0.902990542649631,0.635819606400595,-1.42019927281183,0.155549675313741,0.999983548132501
"AT1G01510",31.4960257904187,0.185935250773734,0.483041330485989,0.384926173059899,0.700292113909035,0.999983548132501
"AT1G01540",39.0518339069834,-0.276443144624995,0.428950010475676,-0.644464711210611,0.519274133784812,0.999983548132501
"AT1G01550",102.389903490498,-0.156897852191867,0.299026766825498,-0.524695009271285,0.599795227255425,0.999983548132501
"AT1G01600",14.0113233967778,0.707649639524578,0.72166546538275,0.98057849996918,0.326800641036492,0.999983548132501
"AT1G01610",37.3354780791008,0.681004663216123,0.442542005897759,1.5388475085763,0.123841528439823,0.999983548132501
"AT1G01620",123.096080309015,0.0145185943046687,0.307640094910946,0.0471934398176267,0.962359055965371,0.999983548132501
"AT1G01630",20.3465855668718,-0.154798303819665,0.580941508342964,-0.266461083597211,0.789884127056319,0.999983548132501
"AT1G01640",7.54679679105339,1.11610032182446,0.975019336652484,1.14469557666041,0.252335284423777,NA
"AT1G01650",14.9881026644937,-0.122867403011046,0.652921169212044,-0.188181068105548,0.85073471282356,0.999983548132501
"AT1G01710",8.82254492215131,0.757720288603996,0.887931207859135,0.853354721511493,0.393462622668347,0.999983548132501
"AT1G01720",46.2600527567824,-0.215997324949214,0.412870359107481,-0.523160164406436,0.600862800234977,0.999983548132501
"AT1G01730",17.2735792698068,0.054504046824857,0.610467161654623,0.0892825204178519,0.928857385272466,0.999983548132501
"AT1G01750",14.4618464113639,-0.355549512536344,0.685535979959507,-0.518644568527745,0.604008623251249,0.999983548132501
"AT1G01790",7.60905867385356,1.33784490570324,0.9535434993393,1.40302451501187,0.160609528730235,NA
"AT1G01800",54.4954542504807,0.139337442615196,0.386941006924091,0.360099963875194,0.718772379803053,0.999983548132501
"AT1G01820",27.3172499485826,-0.208931208168546,0.497221292282073,-0.420197629127313,0.674341086602601,0.999983548132501
"AT1G01830",23.1372757916931,-0.548410789253886,0.544740878345406,-1.00673698460014,0.314061184006369,0.999983548132501
"AT1G01890",20.4592709900433,-0.486623766139219,0.573667147225196,-0.848268492440256,0.396288460392025,0.999983548132501
"AT1G01910",32.2758393048723,-0.119731936087504,0.463204404008858,-0.258486178134901,0.796031714817078,0.999983548132501
"AT1G01920",11.920713127676,-0.413792332758949,0.739521533484198,-0.559540613793082,0.575792821457722,0.999983548132501
"AT1G01930",12.6212695791671,0.129413775746638,0.707663890025386,0.182874635219829,0.854896385416962,0.999983548132501
"AT1G01950",17.7291937819699,-0.0982059691319718,0.603917833725128,-0.1626147857337,0.87082174462494,0.999983548132501
"AT1G01960",77.3474247796964,0.224064536910459,0.342913300130352,0.653414541883574,0.51348906639985,0.999983548132501
"AT1G01990",12.4353398567957,1.28552967143578,0.755363726570943,1.70186841943229,0.088780037034725,0.999983548132501
"AT1G02000",16.4740211602369,-0.159973103009328,0.639138501928407,-0.250294893089146,0.802359305532726,0.999983548132501
"AT1G02080",57.7169099323266,0.071627723451208,0.375081741476216,0.190965636368493,0.84855251586818,0.999983548132501
"AT1G02090",31.3857110525813,-0.640834478959371,0.471439967044183,-1.35931300644121,0.174047424291428,0.999983548132501
"AT1G02100",16.6768196939081,0.779099644577032,0.658832488478996,1.18254587956901,0.236989172314108,0.999983548132501
"AT1G02110",16.8390138724877,0.131890253794521,0.627861746274501,0.210062572814969,0.833618836290416,0.999983548132501
"AT1G02120",59.3609391362649,0.00441849275573069,0.394024325589936,0.011213756280441,0.991052904509342,0.999983548132501
"AT1G02130",9.91301137148047,-0.00763929133396228,0.809420316956688,-0.00943797823445425,0.992469694675903,0.999983548132501
"AT1G02140",75.2434049040773,-0.0809397518835062,0.330039987784892,-0.245242258148003,0.806268857938221,0.999983548132501
"AT1G02150",16.5494100524563,-0.136257749144423,0.631776868864026,-0.215673849201575,0.829241986801559,0.999983548132501
"AT1G02160",8.25404553991284,0.307101976961302,0.890019288847651,0.345050922838899,0.73005608800136,0.999983548132501
"AT1G02170",28.8746346183185,0.0273783721013074,0.484944071535064,0.0564567621471125,0.954977939363535,0.999983548132501
"AT1G02220",33.2455754476729,-0.110036485778575,0.463002765721031,-0.237658376850549,0.812146069209477,0.999983548132501
"AT1G02260",12.1471854559127,-0.0216282033370994,0.718896625933394,-0.0300852759032191,0.975999043543523,0.999983548132501
"AT1G02270",8.60643650541474,-1.34836303847182,0.870326721617741,-1.54926076033322,0.121319048506178,0.999983548132501
"AT1G02305",34.1839079356442,0.701968297664295,0.462992833067993,1.51615370158701,0.129480491952741,0.999983548132501
"AT1G02330",17.7642395152278,-0.332036830913273,0.610663111416055,-0.543731600461863,0.586626183456825,0.999983548132501
"AT1G02360",27.4500021917064,0.542959651029802,0.50475167865701,1.07569657316337,0.282062980534556,0.999983548132501
"AT1G02370",8.52095786027059,-1.40009509331646,0.892290742303151,-1.569101893518,0.116624198656415,0.999983548132501
"AT1G02400",13.7656567478758,0.42405443359106,0.692905668155122,0.61199446487444,0.540541419720946,0.999983548132501
"AT1G02500",304.985886361226,-0.215817572928489,0.242128164436429,-0.89133609644636,0.372748889266997,0.999983548132501
"AT1G02520",34.6502823628228,0.162878972638636,0.451690039322412,0.360598991474273,0.718399243353856,0.999983548132501
"AT1G02560",8.13434559453684,0.958107215419471,0.900415140969163,1.06407275025186,0.287295744170735,0.999983548132501
"AT1G02640",9.73928450205035,0.426953245672224,0.816807258710282,0.522709906308096,0.601176143438226,0.999983548132501
"AT1G02690",13.2647073026261,-0.0894075942179964,0.704326655206866,-0.126940523345289,0.898987473066105,0.999983548132501
"AT1G02730",22.2146683474518,0.149463453973127,0.54887660169249,0.272307934993491,0.785385255442326,0.999983548132501
"AT1G02740",12.7712294118024,-1.33304614802471,0.717861249836318,-1.85696908466457,0.063315552589955,0.945432502269288
"AT1G02750",12.8562279702447,0.0554061850015483,0.702451553254634,0.0788754537517037,0.937131687468696,0.999983548132501
"AT1G02760",19.443224100487,-0.411290219647827,0.581536372668856,-0.707247627109349,0.479412605857812,0.999983548132501
"AT1G02780",362.588904817443,-0.411509943530487,0.221214640816122,-1.86022924166462,0.0628530995843096,0.942902635218719
"AT1G02810",28.6139345086274,0.654676085421225,0.498873747879031,1.31230815051822,0.189416183218162,0.999983548132501
"AT1G02816",11.119255047959,-0.45098119738366,0.75637666303131,-0.596238910354895,0.551015635152294,0.999983548132501
"AT1G02840",90.6775124145112,-0.297128043056797,0.309408890475514,-0.960308679560424,0.33689988302303,0.999983548132501
"AT1G02850",18.7173543598932,0.327622886162763,0.604140136422764,0.54229617668292,0.587614489041504,0.999983548132501
"AT1G02860",15.9468794453749,-0.00464428889543555,0.675932940397583,-0.00687093144580848,0.994517833016331,0.999983548132501
"AT1G02870",13.2095430922247,-0.329885695170012,0.70983801452294,-0.464733768015676,0.642122123143198,0.999983548132501
"AT1G02880",10.109175746197,-0.990581640315177,0.790919837955329,-1.25244252676227,0.21040865836653,0.999983548132501
"AT1G02890",92.1679906639385,0.22148544831975,0.312604501265063,0.708516503836099,0.478624566980341,0.999983548132501
"AT1G02900",85.0631512653662,-0.472532277869281,0.323918747170052,-1.45879879444338,0.14462049452802,0.999983548132501
"AT1G02920",12.5163455092625,0.675074850355237,0.728658283210346,0.926462878293198,0.354205480160579,0.999983548132501
"AT1G02930",10.5086889290354,0.993158621704876,0.831625037462622,1.19423848124524,0.232384694282633,0.999983548132501
"AT1G02990",18.9591047717913,-0.00862227146610993,0.587468452217949,-0.0146769948812691,0.988289872808001,0.999983548132501
"AT1G03000",8.03204620435363,0.650636604579558,0.922019475603017,0.705664708605022,0.480396672886456,0.999983548132501
"AT1G03040",48.8991888303997,0.107132174691964,0.392414964489681,0.273007363088931,0.784847555580795,0.999983548132501
"AT1G03060",84.723338992133,-0.0221816618720627,0.317090549579212,-0.0699537148032269,0.944230499574172,0.999983548132501
"AT1G03080",174.859660159515,-0.694323378543954,0.2689143023723,-2.58195035525739,0.00982437161722966,0.317240517604601
"AT1G03090",9.0369342850867,-1.02692052834895,0.833776395267639,-1.23164979744877,0.21807993051363,0.999983548132501
"AT1G03140",65.3226773552985,-0.134695169649587,0.350026608167495,-0.384814087005446,0.700375161436006,0.999983548132501
"AT1G03210",23.1945394191456,0.0279044435779872,0.567555958060217,0.0491659777008747,0.96078702432275,0.999983548132501
"AT1G03220",188.771887214945,-0.886010033271783,0.297671670842409,-2.97646743059016,0.00291590052452745,0.119677868889766
"AT1G03230",71.283230221724,-0.676093420979012,0.365385822141857,-1.85035483045241,0.0642624247503101,0.947029746756584
"AT1G03250",10.4371230315907,-0.382457783183764,0.791469702538234,-0.483224793011314,0.628936133157594,0.999983548132501
"AT1G03280",41.3069509015852,-0.0555923723918773,0.422529554976735,-0.131570375934858,0.895324118363617,0.999983548132501
"AT1G03290",34.844746214296,0.386063207218227,0.465904274736323,0.828632034846039,0.407312655064127,0.999983548132501
"AT1G03330",25.9020342225121,-0.235012936201498,0.510014630560547,-0.460796459786261,0.644944641903603,0.999983548132501
"AT1G03350",70.3269976481902,0.00248064184210645,0.345880330152359,0.00717196563624691,0.994277648405125,0.999983548132501
"AT1G03360",18.24332189383,-0.892175086972198,0.598092299172348,-1.49170134477038,0.135777456430968,0.999983548132501
"AT1G03365",15.5418492257411,-0.380656957470449,0.639679953333692,-0.595074076476299,0.551793956159044,0.999983548132501
"AT1G03370",27.1889031882075,0.192532344427583,0.539494502567769,0.356875451948463,0.721185047707934,0.999983548132501
"AT1G03380",27.2442281507669,0.299590311171699,0.507523857266294,0.590297986749629,0.554990888887081,0.999983548132501
"AT1G03457",8.15781346097582,0.0361828443923295,0.886192034118847,0.0408295753056577,0.967431761327401,0.999983548132501
"AT1G03475",19.0976251558054,-0.00191816313129282,0.591263184651179,-0.00324417819523881,0.99741152484601,0.999983548132501
"AT1G03495",19.1479037967563,-0.634913352989589,0.591599111963753,-1.07321552745754,0.283174425469328,0.999983548132501
"AT1G03515",28.2192136530102,-0.350013447251162,0.48872152998889,-0.716181763588601,0.473879122043844,0.999983548132501
"AT1G03530",42.6737463718138,-0.893477760647734,0.423916089533529,-2.10767598283638,0.0350590261405253,0.7101716752709
"AT1G03570",12.2839120744542,-0.546807311893149,0.713409710721554,-0.766470239576777,0.44339655317266,0.999983548132501
"AT1G03590",23.5349500330904,0.158543771246363,0.545686243299338,0.290540165146501,0.771403027909197,0.999983548132501
"AT1G03610",26.3895510067642,-0.063232869376083,0.509976212632454,-0.123991801597334,0.901321766348388,0.999983548132501
"AT1G03730",15.0481137495998,0.179283780701952,0.708694413299543,0.252977556105236,0.8002855568328,0.999983548132501
"AT1G03740",45.6200281291453,0.565251726152337,0.407376249173048,1.38754217335883,0.16527650053067,0.999983548132501
"AT1G03760",8.87257245900717,0.102688823773952,0.834271424316258,0.123088027206628,0.902037392087854,0.999983548132501
"AT1G03820",6.19708613240409,0.745351145242619,1.05668849980925,0.705365058271353,0.480583083019115,NA
"AT1G03830",8.55460872186361,0.640848971551949,0.861270980945176,0.744073567704172,0.456831969309913,0.999983548132501
